Task,MT-NYAN-RMSE (single latent),MT-NYAN-R2 (single latent),MT-NYAN-RMSE (5 random latents),MT-NYAN-R2 (5  random latents)
mouse_intraperitoneal_LD50,0.440455437,0.599388957,0.430621445,0.61706382
mammal (species unspecified)_intraperitoneal_LD50,0.502534389,0.440352917,0.473240703,0.503471851
guinea pig_intraperitoneal_LD50,0.587629735,0.61375618,0.578780115,0.623843133
rat_intraperitoneal_LD50,0.555882275,0.570194602,0.546083987,0.585264385
rabbit_intraperitoneal_LD50,0.644610345,0.555208027,0.64099735,0.559825063
mouse_intraperitoneal_LDLo,0.645014405,0.449022979,0.629455686,0.474417686
rat_intraperitoneal_LDLo,0.568282902,0.571137607,0.563390017,0.579130948
mouse_intravenous_LD50,0.460918337,0.607005298,0.448869079,0.627311885
guinea pig_intravenous_LD50,0.663748443,0.715405881,0.649579942,0.727523625
rat_intravenous_LD50,0.564812362,0.661302388,0.548426628,0.680704474
rabbit_intravenous_LD50,0.593057811,0.753944159,0.581995249,0.762695313
dog_intravenous_LD50,0.649349213,0.63065666,0.642080724,0.638982594
cat_intravenous_LD50,0.717553437,0.706737936,0.709675372,0.713136196
mouse_intravenous_LDLo,0.639432549,0.595021665,0.615615427,0.626876175
guinea pig_intravenous_LDLo,0.67589283,0.658573747,0.674105763,0.658813775
rat_intravenous_LDLo,0.776714623,0.427916288,0.767355621,0.441292197
rabbit_intravenous_LDLo,0.748783886,0.617309868,0.748683453,0.618115902
dog_intravenous_LDLo,0.703348577,0.657157898,0.698119581,0.66340059
cat_intravenous_LDLo,0.697808802,0.743570149,0.70287019,0.739823163
mouse_oral_LD50,0.420970351,0.520160496,0.410811156,0.543066502
mammal (species unspecified)_oral_LD50,0.501109123,0.61527884,0.490000635,0.634019971
guinea pig_oral_LD50,0.686703742,0.674551189,0.669051349,0.691809714
rat_oral_LD50,0.559135079,0.604732454,0.54766959,0.62078476
rabbit_oral_LD50,0.614956319,0.52793026,0.610838354,0.53470093
dog_oral_LD50,0.758608043,0.430223197,0.754056275,0.437770188
cat_oral_LD50,0.804065228,0.671531975,0.803037763,0.672226965
bird - wild_oral_LD50,0.71018362,0.437004626,0.701643407,0.451438636
quail_oral_LD50,0.663513184,0.448124647,0.648212135,0.474346638
duck_oral_LD50,0.85029906,0.515232623,0.836222768,0.531986058
chicken_oral_LD50,0.755629063,0.492152989,0.742717624,0.509698808
mouse_oral_LDLo,0.640816391,0.360041529,0.629689932,0.382068962
rat_oral_LDLo,0.657045484,0.442083895,0.656948626,0.440933049
rabbit_oral_LDLo,0.64421314,0.494454592,0.636008561,0.50616467
dog_oral_LDLo,0.813706577,0.501043499,0.797830284,0.522982895
cat_oral_LDLo,0.654667318,0.544966996,0.662549973,0.534156621
man_oral_TDLo,1.032832742,0.360819906,1.030596614,0.363169849
women_oral_TDLo,0.997876346,0.379892081,0.972673118,0.411669463
human_oral_TDLo,1.179909587,0.482542038,1.163344622,0.500875115
mouse_unreported_LD50,0.517024636,0.667424679,0.504177988,0.683715284
mammal (species unspecified)_unreported_LD50,0.409859419,0.548332095,0.40216285,0.564623833
rat_unreported_LD50,0.596701801,0.617893815,0.58596772,0.631492913
mouse_skin_LD50,0.675252497,0.519764602,0.667941868,0.531206071
guinea pig_skin_LD50,0.769676924,0.320715487,0.753711343,0.348198503
rat_skin_LD50,0.558089554,0.49017486,0.551117122,0.502683342
rabbit_skin_LD50,0.542041779,0.474804312,0.539499223,0.479851812
rabbit_skin_LDLo,0.657700837,0.446657956,0.656309485,0.448934466
mouse_subcutaneous_LD50,0.54447341,0.614865303,0.533787072,0.629860878
mammal (species unspecified)_subcutaneous_LD50,0.377656549,0.294965446,0.364026964,0.345371634
guinea pig_subcutaneous_LD50,0.685826957,0.682148278,0.664456069,0.702339172
rat_subcutaneous_LD50,0.674271882,0.559841335,0.661422729,0.576729238
rabbit_subcutaneous_LD50,0.7462883,0.686647296,0.749649465,0.687271953
mouse_subcutaneous_LDLo,0.673363328,0.452821344,0.664958298,0.468762785
guinea pig_subcutaneous_LDLo,0.777833641,0.665541351,0.778822899,0.663321137
rat_subcutaneous_LDLo,0.66071552,0.689970315,0.66208452,0.689186394
rabbit_subcutaneous_LDLo,0.633807182,0.736403644,0.63291496,0.736923099
frog_subcutaneous_LDLo,0.850817978,0.511214316,0.846246064,0.517851651
mouse_intramuscular_LD50,0.592227161,0.601749957,0.586657822,0.609290123
rat_intramuscular_LD50,0.702219665,0.592690468,0.696683824,0.597906351
mouse_parenteral_LD50,0.557487249,0.583768308,0.540639341,0.610088289
Avg.,0.660769582,0.556522489,0.651815057,0.570019841
