Task,MT-DNN-RMSE,MT-DNN-R2,ST-DNN-RMSE,ST-DNN-R2,ST-RF-RMSE,ST-RF-R2,GCNN-RMSE,GCNN-R2,DLCA-RMSE,DLCA-R2
mouse_intravenous_LDLo,0.83,0.53,1.14,0.1,1.05,0.25,0.86,0.49,0.79,0.58
frog_subcutaneous_LDLo,0.84,0.54,0.98,0.37,0.97,0.38,0.82,0.56,0.84,0.54
guinea pig_intravenous_LDLo,0.65,0.61,0.98,0.06,0.74,0.49,0.67,0.57,0.61,0.66
mammal (species unspecified)_subcutaneous_LD50,0.47,0.2,0.58,-0.24,0.43,0.33,0.45,0.28,0.48,0.18
rabbit_intraperitoneal_LD50,0.66,0.43,1,-0.28,0.85,0.08,0.62,0.51,0.63,0.48
rat_intravenous_LDLo,0.8,0.48,1.2,-0.15,1,0.21,0.88,0.37,0.76,0.55
cat_oral_LDLo,0.69,0.41,0.94,-0.04,0.88,0.08,0.7,0.39,0.64,0.51
human_oral_TDLo,1.27,0.32,1.55,-0.02,1.46,0.11,1.44,0.11,1.32,0.27
guinea pig_intravenous_LD50,0.75,0.62,1.23,0,0.89,0.47,0.77,0.6,0.71,0.66
rabbit_subcutaneous_LD50,0.81,0.62,1.11,0.28,1.07,0.36,0.83,0.59,0.86,0.56
women_oral_TDLo,1.04,0.2,1.14,0.04,1.06,0.17,1.05,0.19,1.09,0.13
cat_intravenous_LDLo,0.68,0.71,1.04,0.32,0.86,0.54,0.74,0.66,0.66,0.72
man_oral_TDLo,1.11,0.17,1.31,-0.14,1.21,0.02,1.13,0.15,1.04,0.28
guinea pig_subcutaneous_LD50,0.81,0.58,1.07,0.27,1.1,0.21,0.88,0.48,0.83,0.56
cat_oral_LD50,0.83,0.47,1.1,0.08,0.9,0.38,0.84,0.46,0.76,0.56
rat_subcutaneous_LDLo,0.66,0.68,0.98,0.3,0.93,0.36,0.69,0.65,0.66,0.68
guinea pig_skin_LD50,0.77,0.33,0.92,0.06,0.76,0.38,0.78,0.32,0.74,0.4
guinea pig_subcutaneous_LDLo,0.75,0.65,0.98,0.4,0.88,0.52,0.72,0.68,0.75,0.65
rabbit_skin_LDLo,0.67,0.47,0.91,0.02,0.89,0.09,0.77,0.31,0.7,0.45
dog_oral_LDLo,0.83,0.52,1.23,-0.08,1.11,0.14,0.88,0.46,0.84,0.51
duck_oral_LD50,0.92,0.48,1.09,0.26,0.99,0.39,0.94,0.44,0.85,0.55
mouse_skin_LD50,0.79,0.36,0.99,0.02,0.89,0.21,0.71,0.49,0.79,0.38
rabbit_subcutaneous_LDLo,0.66,0.73,0.84,0.56,0.85,0.55,0.61,0.76,0.61,0.77
guinea pig_intraperitoneal_LD50,0.61,0.57,0.94,-0.02,0.79,0.28,0.66,0.49,0.62,0.56
rabbit_oral_LDLo,0.58,0.57,0.76,0.28,0.72,0.36,0.63,0.49,0.61,0.53
mouse_subcutaneous_LDLo,0.76,0.31,0.97,-0.12,0.9,0.03,0.73,0.36,0.77,0.3
cat_intravenous_LD50,0.8,0.63,1.1,0.31,0.88,0.55,0.78,0.65,0.78,0.65
mouse_oral_LDLo,0.68,0.34,0.91,-0.16,0.77,0.16,0.68,0.36,0.68,0.35
mouse_intraperitoneal_LDLo,0.67,0.46,0.94,-0.06,0.83,0.17,0.65,0.49,0.62,0.53
rat_intramuscular_LD50,0.7,0.57,1,0.15,0.93,0.25,0.67,0.61,0.7,0.58
mouse_parenteral_LD50,0.71,0.46,0.84,0.21,0.76,0.39,0.72,0.44,0.72,0.44
rat_intraperitoneal_LDLo,0.58,0.53,0.84,0,0.77,0.18,0.55,0.58,0.56,0.57
rat_oral_LDLo,0.68,0.37,0.87,-0.06,0.78,0.15,0.69,0.33,0.64,0.44
